;contractID;symbol;expiration;strike;type;last;mark;bid;bid_size;ask;ask_size;volume;open_interest;date;implied_volatility;delta;gamma;theta;vega;rho;underlying;price_date
705;AAPL250417P00290000;AAPL;2025-04-17;290.00;put;0.00;80.30;79.90;105;80.70;105;0;0;2025-03-13;0.65107;-0.93151;0.00312;-0.04704;0.08573;-0.26429;AAPL;2025-03-13
706;AAPL250417C00295000;AAPL;2025-04-17;295.00;call;0.03;0.04;0.03;99;0.05;114;803;1878;2025-03-13;0.41174;0.00492;0.00053;-0.00556;0.00926;0.00095;AAPL;2025-03-13
707;AAPL250417P00295000;AAPL;2025-04-17;295.00;put;0.00;85.32;84.85;105;85.80;105;0;0;2025-03-13;0.68201;-0.93205;0.00296;-0.04971;0.08520;-0.26921;AAPL;2025-03-13
708;AAPL250417C00300000;AAPL;2025-04-17;300.00;call;0.03;0.04;0.03;1;0.05;203;1767;6363;2025-03-13;0.42973;0.00474;0.00049;-0.00561;0.00896;0.00092;AAPL;2025-03-13
709;AAPL250417P00300000;AAPL;2025-04-17;300.00;put;0.00;90.35;89.90;105;90.80;105;0;0;2025-03-13;0.71357;-0.93213;0.00283;-0.05288;0.08513;-0.27405;AAPL;2025-03-13
710;AAPL250417C00305000;AAPL;2025-04-17;305.00;call;0.02;0.03;0.02;29;0.04;105;502;1084;2025-03-13;0.43446;0.00360;0.00038;-0.00443;0.00700;0.00070;AAPL;2025-03-13
711;AAPL250417P00305000;AAPL;2025-04-17;305.00;put;0.00;95.30;94.85;105;95.75;105;0;0;2025-03-13;0.73506;-0.93502;0.00266;-0.05187;0.08231;-0.27938;AAPL;2025-03-13
712;AAPL250417C00310000;AAPL;2025-04-17;310.00;call;0.04;0.03;0.02;1;0.04;140;0;715;2025-03-13;0.45122;0.00348;0.00036;-0.00446;0.00679;0.00067;AAPL;2025-03-13
713;AAPL250417P00310000;AAPL;2025-04-17;310.00;put;0.00;100.35;99.95;105;100.75;105;0;0;2025-03-13;0.76814;-0.93414;0.00257;-0.05612;0.08317;-0.28405;AAPL;2025-03-13
714;AAPL250417C00315000;AAPL;2025-04-17;315.00;call;0.02;0.03;0.02;1;0.03;62;1;377;2025-03-13;0.46769;0.00337;0.00033;-0.00449;0.00660;0.00065;AAPL;2025-03-13
715;AAPL250417P00315000;AAPL;2025-04-17;315.00;put;100.50;105.30;104.90;105;105.70;105;1;1;2025-03-13;0.78841;-0.93674;0.00243;-0.05500;0.08061;-0.28932;AAPL;2025-03-13
716;AAPL250417C00320000;AAPL;2025-04-17;320.00;call;0.02;0.02;0.01;218;0.03;205;2;1359;2025-03-13;0.46571;0.00232;0.00024;-0.00319;0.00472;0.00045;AAPL;2025-03-13
717;AAPL250417P00320000;AAPL;2025-04-17;320.00;put;0.00;110.32;109.85;103;110.80;105;0;0;2025-03-13;0.81692;-0.93677;0.00234;-0.05765;0.08058;-0.29414;AAPL;2025-03-13
718;AAPL250417C00325000;AAPL;2025-04-17;325.00;call;0.01;0.02;0.01;1;0.03;62;2;672;2025-03-13;0.48110;0.00226;0.00023;-0.00322;0.00460;0.00044;AAPL;2025-03-13
719;AAPL250417P00325000;AAPL;2025-04-17;325.00;put;0.00;115.30;114.85;105;115.75;105;0;0;2025-03-13;0.83978;-0.93813;0.00224;-0.05803;0.07923;-0.29918;AAPL;2025-03-13
720;AAPL250417C00330000;AAPL;2025-04-17;330.00;call;0.02;0.01;0.01;150;0.02;67;0;1027;2025-03-13;0.46753;0.00122;0.00013;-0.00178;0.00262;0.00024;AAPL;2025-03-13
721;AAPL250417P00330000;AAPL;2025-04-17;330.00;put;0.00;120.32;119.85;105;120.80;105;0;0;2025-03-13;0.86737;-0.93806;0.00217;-0.06064;0.07929;-0.30399;AAPL;2025-03-13
